6       1
ID     CPU Burst  Arrival Time   Priority
  4         5        17           1
  3         4        10           4
 10         1         9          10
  9         4        28          12
 13         1         7          11
  2         3        33           8
 11         3        13           5
  8         7         5           1
  5         6        13           7
  1         4         1           3
  0         6         1          12
  7         7        32           8
 12         7        30           5
  6         9        22           6
