8086指令集

以下是目前整理出來的指令集共??個,如果有錯誤或缺少請更正

          指令行         OP Code     同類項

           AAD             D5         0001
           AAM             D4         0001
           AAA             37         0002
           AAS             3F         0002
           CBW             98         0002
           CLC             F8         0002
           CLD             FC         0002
           CLI             FA         0002
           CMC             F5         0002
           CMPSB           A6         0002
           CMPSW           A7         0002
           CWD             99         0002
           DAA             27         0002
           DAS             2F         0002
           FWAIT           9B         0002
           HLT             F4         0002
           INTO            CE         0002
           IRET            CF         0002
           LAHF            9F         0002
           LOCK            F0         0002
           LODSB           AC         0002
           LODSW           AD         0002
           MOVSB           A4         0002
           MOVSW           A5         0002
           NOP             90         0002
           POPF            9D         0002
           PUSHF           9C         0002
           REP             F3         0002
           REPE            F3         0002
           REPNE           F2         0002
           REPNZ           F2         0002
           REPZ            F3         0002
           SAHF            9E         0002
           SCASB           AE         0002
           SCASW           AF         0002
           STC             F9         0002
           STD             FD         0002
           STI             FB         0002
           STOSB           AA         0002
           STOSW           AB         0002
           WAIT            9B         0002
           XLAT            D7         0002
           PUSH            30         0003
           POP             00         0004
           RET             C3         0005
           RETF            CB         0005
           INT             CC         0006
           IN              EC         0007
           OUT             EE         0008
           JMP             20         0009
           CALL            10         0010
           JA              77         0011
           JAE             73         0011
           JB              72         0011
           JBE             76         0011
           JC              72         0011
           JCXZ            E3         0011
           JE              74         0011
           JG              7F         0011
           JGE             7D         0011
           JL              7C         0011
           JLE             7E         0011
           JNA             76         0011
           JNAE            72         0011
           JNB             73         0011
           JNBE            77         0011
           JNC             73         0011
           JNE             75         0011
           JNG             7E         0011
           JNGE            7C         0011
           JNL             7D         0011
           JNLE            7F         0011
           JNO             71         0011
           JNP             7B         0011
           JNS             79         0011
           JNZ             75         0011
           JO              70         0011
           JP              7A         0011
           JPE             7A         0011
           JPO             7B         0011
           JS              78         0011
           JZ              74         0011
           LOOP            E2         0011
           LOOPE           E1         0011
           LOOPNE          E0         0011
           LOOPNZ          E0         0011
           LOOPZ           E1         0011
           LDS             C5         0012
           LEA             8D         0012
           LES             C4         0012
           DEC             08         0013
           INC             00         0013
           ESC             D8         0014
           DIV             30         0015
           IDIV            38         0015
           IMUL            28         0015
           MUL             20         0015
           NEG             18         0015
           NOT             10         0015
           RCL             10         0016
           RCR             18         0016
           ROL             00         0016
           ROR             08         0016
           SAR             38         0016
           SHL             20         0016
           SHR             28         0016
           XCHG            86         0017
           TEST            F6         0018
           MOV             C6         0019
           ADC             10         0020
           ADD             00         0020
           AND             20         0020
           CMP             38         0020
           OR              08         0020
           SBB             18         0020
           SUB             28         0020
           XOR             30         0020
           DW              FF         0021
           DB              FF         0022
           ORG             FF         0023
